english,korean
Where is the subway station,지하철역이 어디예요
How do I get there,거기 어떻게 가요
Which bus should I take,어떤 버스 타야 해요
Which train should I take,어떤 기차 타야 해요
How long does it take,얼마나 걸려요
Is this seat taken,이 자리 비었어요
Please stop here,여기서 세워주세요
I missed my stop,정류장 지나쳤어요
I need to transfer,환승해야 해요
Where do I transfer,어디서 환승해요
The bus is crowded,버스가 붐벼요
The train is delayed,기차가 연착됐어요
I want to buy a ticket,표 사고 싶어요
A round trip ticket please,왕복 티켓 주세요
A one way ticket please,편도 티켓 주세요
Where is the airport,공항이 어디예요
What time does the flight leave,비행기 몇 시에 출발해요
What time does the flight arrive,비행기 몇 시에 도착해요
Where is the gate,게이트가 어디예요
My luggage is lost,짐을 잃어버렸어요
I need to check in,체크인해야 해요
Can I have a window seat,창가 자리 주세요
Can I have an aisle seat,통로 자리 주세요
Fasten your seatbelt,안전벨트 매세요
We are about to land,곧 착륙해요
Welcome to Korea,한국에 오신 것을 환영합니다
I am here on vacation,휴가 왔어요
I am here on business,출장 왔어요
How long will you stay,얼마나 머물러요
I will stay for one week,일주일 있을 거예요
Have a safe trip,안전한 여행 되세요
I had a great time,즐거웠어요
I want to come back,다시 오고 싶어요
Please take care,건강하세요
Until we meet again,다시 만날 때까지
I really enjoyed meeting you,만나서 정말 좋았어요
Thank you for everything,모든 것에 감사해요
I will never forget this,절대 잊지 않을게요
Best wishes to you,좋은 일만 가득하길
Keep in touch,연락하고 지내요
I hope to see you soon,곧 다시 만나길 바라요
Please visit me sometime,언제 놀러 오세요
My door is always open,언제든 환영해요
Wishing you happiness,행복하길 바라요
May all your dreams come true,모든 꿈이 이루어지길
I believe in you,당신을 믿어요
You can do it,할 수 있어요
Never give up,절대 포기하지 마세요
Follow your heart,마음 가는 대로 하세요
Everything will be okay,다 잘 될 거예요
Tomorrow is a new day,내일은 새로운 날이에요
Stay positive,긍정적으로 생각하세요
Life is beautiful,인생은 아름다워요
Enjoy every moment,매 순간을 즐기세요
Make the most of today,오늘을 최대한 즐기세요
I am grateful for you,당신에게 감사해요
You are special,당신은 특별해요
You are amazing,당신은 놀라워요
You inspire me,당신은 영감을 줘요
Thank you for being you,당신이어서 고마워요
I appreciate your kindness,친절에 감사해요
Your help means a lot,도움이 큰 힘이 돼요
I could not have done it without you,당신 없이는 못 했어요
You made my day,덕분에 기분이 좋아요
Let us celebrate,축하해요
