english,portuguese
This is not what I ordered,Isso não é o que eu pedi
The food is too salty,A comida está muito salgada
The food is too sweet,A comida está muito doce
Can I have dessert,Posso pedir sobremesa
I am full,Estou satisfeito
That was delicious,Estava delicioso
Where is the bus stop,Onde fica o ponto de ônibus
Where is the train station,Onde fica a estação de trem
Where is the subway station,Onde fica a estação de metrô
How do I get there,Como chego lá
Which bus should I take,Qual ônibus devo pegar
Which train should I take,Qual trem devo pegar
How long does it take,Quanto tempo demora
Is this seat taken,Esse lugar está ocupado
Please stop here,Por favor pare aqui
I missed my stop,Perdi minha parada
I need to transfer,Preciso fazer baldeação
Where do I transfer,Onde faço baldeação
The bus is crowded,O ônibus está lotado
The train is delayed,O trem está atrasado
I want to buy a ticket,Quero comprar uma passagem
A round trip ticket please,Uma passagem de ida e volta por favor
A one way ticket please,Uma passagem só de ida por favor
Where is the airport,Onde fica o aeroporto
What time does the flight leave,Que horas o voo parte
What time does the flight arrive,Que horas o voo chega
Where is the gate,Onde fica o portão
My luggage is lost,Minha bagagem foi perdida
I need to check in,Preciso fazer check in
Can I have a window seat,Posso ter um assento na janela
Can I have an aisle seat,Posso ter um assento no corredor
Fasten your seatbelt,Aperte o cinto de segurança
We are about to land,Estamos prestes a pousar
Welcome to Brazil,Bem vindo ao Brasil
I am here on vacation,Estou aqui de férias
I am here on business,Estou aqui a negócios
How long will you stay,Quanto tempo você vai ficar
I will stay for one week,Vou ficar uma semana
Have a safe trip,Tenha uma boa viagem
I had a great time,Me diverti muito
I want to come back,Quero voltar
Please take care,Por favor cuide se
Until we meet again,Até nos encontrarmos de novo
I really enjoyed meeting you,Gostei muito de conhecer você
Thank you for everything,Obrigado por tudo
I will never forget this,Nunca vou esquecer isso
Best wishes to you,Melhores votos para você
Keep in touch,Mantenha contato
I hope to see you soon,Espero te ver em breve
Please visit me sometime,Me visite algum dia
My door is always open,Minha porta está sempre aberta
Wishing you happiness,Desejo te felicidade
May all your dreams come true,Que todos seus sonhos se realizem
I believe in you,Eu acredito em você
You can do it,Você consegue
Never give up,Nunca desista
Follow your heart,Siga seu coração
Everything will be okay,Tudo vai ficar bem
Tomorrow is a new day,Amanhã é um novo dia
Stay positive,Fique positivo
Life is beautiful,A vida é linda
Enjoy every moment,Aproveite cada momento
Make the most of today,Aproveite o máximo de hoje
I am grateful for you,Sou grato por você
You are special,Você é especial
You are amazing,Você é incrível
You inspire me,Você me inspira
Thank you for being you,Obrigado por ser você
I appreciate your kindness,Agradeço sua gentileza
Your help means a lot,Sua ajuda significa muito
I could not have done it without you,Não conseguiria sem você
You made my day,Você alegrou meu dia
Let us celebrate,Vamos celebrar
