english,french
The air conditioner is not working,La climatisation ne fonctionne pas
The heater is not working,Le chauffage ne fonctionne pas
I want to order breakfast,Je veux commander le petit déjeuner
I want to order dinner,Je veux commander le dîner
Can I have room service,Puis je avoir le service en chambre
Where is the restaurant,Où est le restaurant
I want to make a reservation,Je veux faire une réservation
A table for two please,Une table pour deux s'il vous plaît
I am vegetarian,Je suis végétarien
I cannot eat pork,Je ne peux pas manger de porc
I cannot eat beef,Je ne peux pas manger de boeuf
Is this spicy,C'est épicé
Please make it less spicy,Moins épicé s'il vous plaît
I would like more bread,Je voudrais plus de pain
This is not what I ordered,Ce n'est pas ce que j'ai commandé
The food is too salty,La nourriture est trop salée
The food is too sweet,La nourriture est trop sucrée
Can I have dessert,Puis je avoir un dessert
I am full,Je suis rassasié
That was delicious,C'était délicieux
Where is the bus stop,Où est l'arrêt de bus
Where is the train station,Où est la gare
Where is the subway station,Où est la station de métro
How do I get there,Comment y aller
Which bus should I take,Quel bus dois je prendre
Which train should I take,Quel train dois je prendre
How long does it take,Combien de temps ça prend
Is this seat taken,Cette place est prise
Please stop here,Arrêtez ici s'il vous plaît
I missed my stop,J'ai raté mon arrêt
I need to transfer,Je dois faire une correspondance
Where do I transfer,Où dois je faire la correspondance
The bus is crowded,Le bus est bondé
The train is delayed,Le train est en retard
I want to buy a ticket,Je veux acheter un billet
A round trip ticket please,Un billet aller retour s'il vous plaît
A one way ticket please,Un billet aller simple s'il vous plaît
Where is the airport,Où est l'aéroport
What time does the flight leave,À quelle heure part le vol
What time does the flight arrive,À quelle heure arrive le vol
Where is the gate,Où est la porte d'embarquement
My luggage is lost,Mes bagages sont perdus
I need to check in,Je dois m'enregistrer
Can I have a window seat,Puis je avoir un siège côté fenêtre
Can I have an aisle seat,Puis je avoir un siège côté couloir
Fasten your seatbelt,Attachez votre ceinture
We are about to land,Nous allons atterrir
Welcome to France,Bienvenue en France
I am here on vacation,Je suis ici en vacances
I am here on business,Je suis ici pour affaires
How long will you stay,Combien de temps restez vous
I will stay for one week,Je reste une semaine
Have a safe trip,Bon voyage
I had a great time,Je me suis bien amusé
I want to come back,Je veux revenir
Please take care,Prenez soin de vous
Until we meet again,Jusqu'à ce qu'on se revoie
I really enjoyed meeting you,J'ai vraiment aimé vous rencontrer
Thank you for everything,Merci pour tout
I will never forget this,Je n'oublierai jamais ça
Best wishes to you,Meilleurs voeux
Keep in touch,Restons en contact
I hope to see you soon,J'espère vous revoir bientôt
Please visit me sometime,Venez me voir un jour
My door is always open,Ma porte est toujours ouverte
Wishing you happiness,Je vous souhaite du bonheur
May all your dreams come true,Que tous vos rêves se réalisent
I believe in you,Je crois en vous
You can do it,Vous pouvez le faire
Never give up,N'abandonnez jamais
Follow your heart,Suivez votre coeur
Everything will be okay,Tout ira bien
Tomorrow is a new day,Demain est un autre jour
Stay positive,Restez positif
Life is beautiful,La vie est belle
Enjoy every moment,Profitez de chaque instant
Make the most of today,Profitez au maximum d'aujourd'hui
I am grateful for you,Je vous suis reconnaissant
You are special,Vous êtes spécial
You are amazing,Vous êtes incroyable
You inspire me,Vous m'inspirez
Thank you for being you,Merci d'être vous
I appreciate your kindness,J'apprécie votre gentillesse
Your help means a lot,Votre aide compte beaucoup
I could not have done it without you,Je n'aurais pas pu le faire sans vous
You made my day,Vous avez fait ma journée
Let us celebrate,Célébrons
